Date,Open,High,Low,Close,Adj Close,Volume
2019-02-05,211.490005,212.520004,209.639999,211.610001,198.852783,2074500
2019-02-06,212.259995,212.259995,210.479996,211.600006,198.843430,1618800
2019-02-07,210.070007,210.100006,206.270004,209.050003,196.977707,2526600
2019-02-08,207.830002,208.490005,205.750000,207.750000,195.752808,2013700
2019-02-11,208.649994,208.919998,206.759995,208.720001,196.666794,2376600
2019-02-12,210.059998,212.750000,209.259995,211.899994,199.663132,2091200
2019-02-13,212.229996,213.509995,211.300003,212.800003,200.511200,1703000
2019-02-14,212.000000,214.550003,211.139999,213.839996,201.491119,1411100
2019-02-15,215.149994,217.250000,214.039993,216.470001,203.969254,2635500
2019-02-19,216.669998,219.600006,216.509995,218.119995,205.523941,1938100
2019-02-20,218.229996,219.070007,215.059998,217.110001,204.572296,1785600
2019-02-21,216.600006,216.720001,214.330002,215.229996,202.800797,1615300
2019-02-22,215.169998,216.589996,214.250000,216.289993,203.799637,1542500
2019-02-25,217.369995,219.089996,216.550003,217.050003,204.515732,1794000
2019-02-26,216.889999,218.910004,216.130005,217.610001,205.043381,1884100
2019-02-27,216.509995,218.860001,216.449997,218.050003,205.458008,1482700
2019-02-28,218.490005,219.690002,217.520004,218.740005,206.108185,2055600
2019-03-01,219.759995,220.570007,215.770004,219.440002,206.767731,2178200
2019-03-04,220.429993,221.080002,215.869995,218.410004,205.797195,2444700
2019-03-05,218.910004,221.610001,218.899994,219.820007,207.125793,2160200
2019-03-06,220.500000,221.910004,218.229996,219.229996,206.569839,1985300
2019-03-07,218.130005,219.389999,216.220001,216.789993,204.270752,3279100
2019-03-08,225.479996,228.699997,223.770004,227.820007,214.663788,6782700
2019-03-11,227.529999,229.910004,227.059998,229.690002,216.425827,3748400
2019-03-12,230.320007,233.399994,229.899994,232.960007,219.506973,2647100
2019-03-13,234.250000,237.449997,232.949997,236.380005,222.729462,2421200
2019-03-14,236.130005,236.380005,233.279999,233.839996,220.336121,2300300
2019-03-15,234.169998,235.649994,233.179993,233.600006,220.109985,5075400
2019-03-18,233.580002,236.679993,233.490005,236.589996,222.927338,1735400
2019-03-19,237.520004,238.050003,236.289993,237.050003,223.360794,1852300
2019-03-20,237.029999,238.490005,235.779999,236.979996,223.294800,1499500
2019-03-21,236.679993,239.850006,236.550003,239.539993,225.706955,1617000
2019-03-22,239.750000,240.339996,236.899994,237.559998,223.841324,1873600
2019-03-25,236.929993,238.080002,235.789993,236.970001,223.285416,1357100
2019-03-26,238.000000,240.250000,237.360001,239.070007,225.264114,1193000
2019-03-27,238.710007,240.210007,238.160004,239.410004,225.584503,1351200
2019-03-28,239.979996,241.949997,239.580002,241.220001,227.289963,1396700
2019-03-29,241.660004,242.440002,240.770004,242.139999,228.156830,1968000
2019-04-01,243.070007,244.410004,242.580002,244.190002,230.088455,1610200
2019-04-02,244.000000,244.190002,240.309998,240.500000,226.611542,1574300
2019-04-03,241.690002,243.550003,241.020004,242.479996,228.477173,1663600
2019-04-04,242.169998,244.759995,241.250000,244.399994,230.286301,1319700
2019-04-05,244.960007,247.089996,244.009995,245.869995,231.671448,1616200
2019-04-08,245.990005,246.830002,245.199997,246.520004,232.283890,1244200
2019-04-09,245.110001,245.679993,244.009995,244.910004,230.766891,1450200
2019-04-10,245.279999,246.669998,244.710007,245.610001,231.426453,1556600
2019-04-11,243.619995,244.179993,240.919998,241.240005,227.308823,2719800
2019-04-12,241.509995,242.720001,240.899994,241.949997,227.977798,2187600
2019-04-15,242.369995,246.750000,241.960007,246.330002,232.104874,1859700
2019-04-16,246.649994,246.820007,244.250000,245.339996,231.172028,1360500
2019-04-17,246.300003,246.460007,244.320007,245.559998,231.379318,1363000
2019-04-18,246.789993,247.250000,244.699997,245.809998,231.614914,1365000
2019-04-22,245.190002,245.770004,242.559998,243.419998,229.362915,1300000
2019-04-23,244.649994,246.529999,242.210007,245.580002,231.398193,1524600
2019-04-24,245.679993,248.699997,245.600006,247.960007,233.640747,1156400
2019-04-25,246.210007,247.149994,243.940002,245.600006,231.417038,1278200
2019-04-26,245.619995,245.889999,242.059998,243.820007,229.739822,1842900
2019-04-29,245.000000,245.750000,243.490005,244.279999,230.173248,1429700
2019-04-30,244.770004,245.789993,243.020004,245.529999,231.351059,1427600
2019-05-01,245.339996,245.460007,241.550003,241.589996,227.638580,1350400
2019-05-02,241.759995,242.889999,240.419998,242.690002,228.675079,1237600
2019-05-03,243.270004,244.880005,242.720001,244.619995,230.493622,905900
2019-05-06,242.850006,244.830002,242.059998,244.229996,230.126160,1194900
2019-05-07,241.720001,242.740005,238.220001,240.179993,226.309998,1775200
2019-05-08,239.559998,243.050003,238.190002,241.339996,227.403030,1611900
2019-05-09,240.660004,244.059998,240.160004,243.470001,230.029556,1919300
